TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/08/29
TIME	14:14:47
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	-0.00813
MAXY	0.43096
MINY	-0.00853
XYDATA
840.0000	-0.00813
839.0000	-0.00817
838.0000	-0.00835
837.0000	-0.00831
836.0000	-0.00845
835.0000	-0.00845
834.0000	-0.00851
833.0000	-0.00853
832.0000	-0.0085
831.0000	-0.00844
830.0000	-0.00826
829.0000	-0.00811
828.0000	-0.00812
827.0000	-0.00814
826.0000	-0.00814
825.0000	-0.00826
824.0000	-0.00825
823.0000	-0.00822
822.0000	-0.00816
821.0000	-0.00817
820.0000	-0.00813
819.0000	-0.00816
818.0000	-0.0083
817.0000	-0.00838
816.0000	-0.00833
815.0000	-0.00828
814.0000	-0.00829
813.0000	-0.00817
812.0000	-0.00821
811.0000	-0.00826
810.0000	-0.00822
809.0000	-0.00821
808.0000	-0.00816
807.0000	-0.00807
806.0000	-0.00798
805.0000	-0.00788
804.0000	-0.00784
803.0000	-0.00786
802.0000	-0.00798
801.0000	-0.00798
800.0000	-0.00794
799.0000	-0.00798
798.0000	-0.00792
797.0000	-0.00797
796.0000	-0.00788
795.0000	-0.00799
794.0000	-0.0081
793.0000	-0.00805
792.0000	-0.00793
791.0000	-0.00783
790.0000	-0.0078
789.0000	-0.00781
788.0000	-0.0077
787.0000	-0.0078
786.0000	-0.00773
785.0000	-0.00773
784.0000	-0.00763
783.0000	-0.00761
782.0000	-0.00766
781.0000	-0.00769
780.0000	-0.0076
779.0000	-0.0076
778.0000	-0.00757
777.0000	-0.00759
776.0000	-0.00759
775.0000	-0.00759
774.0000	-0.00756
773.0000	-0.00755
772.0000	-0.00752
771.0000	-0.00747
770.0000	-0.00742
769.0000	-0.00746
768.0000	-0.00744
767.0000	-0.00748
766.0000	-0.00744
765.0000	-0.00747
764.0000	-0.00737
763.0000	-0.00735
762.0000	-0.00732
761.0000	-0.00725
760.0000	-0.00719
759.0000	-0.00708
758.0000	-0.00708
757.0000	-0.00703
756.0000	-0.00706
755.0000	-0.00696
754.0000	-0.0069
753.0000	-0.00689
752.0000	-0.00683
751.0000	-0.00693
750.0000	-0.00688
749.0000	-0.00685
748.0000	-0.00676
747.0000	-0.00668
746.0000	-0.00664
745.0000	-0.00656
744.0000	-0.0064
743.0000	-0.00632
742.0000	-0.00625
741.0000	-0.00621
740.0000	-0.0062
739.0000	-0.00601
738.0000	-0.00581
737.0000	-0.00567
736.0000	-0.00565
735.0000	-0.0056
734.0000	-0.00552
733.0000	-0.00536
732.0000	-0.00522
731.0000	-0.00505
730.0000	-0.00498
729.0000	-0.00478
728.0000	-0.00462
727.0000	-0.00439
726.0000	-0.00418
725.0000	-0.00393
724.0000	-0.00371
723.0000	-0.00344
722.0000	-0.00309
721.0000	-0.00265
720.0000	-0.00225
719.0000	-0.00183
718.0000	-0.00132
717.0000	-6.7E-04
716.0000	0
715.0000	6.6E-04
714.0000	0.0014
713.0000	0.00227
712.0000	0.0032
711.0000	0.00418
710.0000	0.00528
709.0000	0.00657
708.0000	0.00805
707.0000	0.00969
706.0000	0.01148
705.0000	0.01349
704.0000	0.01579
703.0000	0.01836
702.0000	0.02113
701.0000	0.02428
700.0000	0.02785
699.0000	0.03179
698.0000	0.03616
697.0000	0.04102
696.0000	0.04636
695.0000	0.05226
694.0000	0.05874
693.0000	0.06589
692.0000	0.07376
691.0000	0.08245
690.0000	0.09199
689.0000	0.1024
688.0000	0.11368
687.0000	0.12601
686.0000	0.13932
685.0000	0.1536
684.0000	0.1687
683.0000	0.18467
682.0000	0.20142
681.0000	0.21882
680.0000	0.23681
679.0000	0.25501
678.0000	0.2733
677.0000	0.29124
676.0000	0.30871
675.0000	0.32554
674.0000	0.34154
673.0000	0.35642
672.0000	0.3702
671.0000	0.38258
670.0000	0.39362
669.0000	0.40308
668.0000	0.41108
667.0000	0.41761
666.0000	0.42277
