TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/03
TIME	10:43:52
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	-0.00042
MAXY	0.24648
MINY	-0.01693
XYDATA
840.0000	-4.2E-04
839.0000	-5.2E-04
838.0000	-6.5E-04
837.0000	-7.2E-04
836.0000	-7.3E-04
835.0000	-7.9E-04
834.0000	-8.3E-04
833.0000	-8.5E-04
832.0000	-9.4E-04
831.0000	-0.00102
830.0000	-0.00107
829.0000	-0.00106
828.0000	-0.00114
827.0000	-0.00121
826.0000	-0.00119
825.0000	-0.00116
824.0000	-0.00122
823.0000	-0.00122
822.0000	-0.00133
821.0000	-0.0013
820.0000	-0.00135
819.0000	-0.00126
818.0000	-0.0012
817.0000	-0.00107
816.0000	-0.00114
815.0000	-0.00121
814.0000	-0.00136
813.0000	-0.00131
812.0000	-0.00143
811.0000	-0.00145
810.0000	-0.00151
809.0000	-0.00151
808.0000	-0.00156
807.0000	-0.00159
806.0000	-0.00173
805.0000	-0.00177
804.0000	-0.0019
803.0000	-0.00201
802.0000	-0.00213
801.0000	-0.00208
800.0000	-0.00204
799.0000	-0.00187
798.0000	-0.00176
797.0000	-0.00174
796.0000	-0.00193
795.0000	-0.00207
794.0000	-0.0021
793.0000	-0.00215
792.0000	-0.00211
791.0000	-0.00201
790.0000	-0.00202
789.0000	-0.00201
788.0000	-0.00207
787.0000	-0.00212
786.0000	-0.00206
785.0000	-0.00214
784.0000	-0.0022
783.0000	-0.00229
782.0000	-0.00225
781.0000	-0.0023
780.0000	-0.00236
779.0000	-0.00247
778.0000	-0.0025
777.0000	-0.00256
776.0000	-0.00263
775.0000	-0.00267
774.0000	-0.00261
773.0000	-0.0026
772.0000	-0.00263
771.0000	-0.00268
770.0000	-0.00273
769.0000	-0.0027
768.0000	-0.00262
767.0000	-0.00261
766.0000	-0.00255
765.0000	-0.00267
764.0000	-0.00268
763.0000	-0.00274
762.0000	-0.0028
761.0000	-0.00282
760.0000	-0.00287
759.0000	-0.00287
758.0000	-0.00286
757.0000	-0.00282
756.0000	-0.00286
755.0000	-0.00289
754.0000	-0.00292
753.0000	-0.00294
752.0000	-0.00297
751.0000	-0.003
750.0000	-0.00299
749.0000	-0.00301
748.0000	-0.00307
747.0000	-0.00304
746.0000	-0.00301
745.0000	-0.00305
744.0000	-0.003
743.0000	-0.00298
742.0000	-0.00298
741.0000	-0.003
740.0000	-0.00296
739.0000	-0.00302
738.0000	-0.00312
737.0000	-0.00317
736.0000	-0.00318
735.0000	-0.00309
734.0000	-0.00305
733.0000	-0.003
732.0000	-0.00294
731.0000	-0.00294
730.0000	-0.00295
729.0000	-0.00292
728.0000	-0.00283
727.0000	-0.00268
726.0000	-0.00254
725.0000	-0.00241
724.0000	-0.00231
723.0000	-0.00222
722.0000	-0.00209
721.0000	-0.00192
720.0000	-0.00179
719.0000	-0.00167
718.0000	-0.00148
717.0000	-0.00127
716.0000	-9.1E-04
715.0000	-6.6E-04
714.0000	-3.4E-04
713.0000	-3E-05
712.0000	4.5E-04
711.0000	9.5E-04
710.0000	0.00149
709.0000	0.00213
708.0000	0.00284
707.0000	0.0037
706.0000	0.00459
705.0000	0.00562
704.0000	0.00675
703.0000	0.00806
702.0000	0.00943
701.0000	0.01099
700.0000	0.01274
699.0000	0.01468
698.0000	0.01693
697.0000	0.01937
696.0000	0.02211
695.0000	0.02516
694.0000	0.02852
693.0000	0.03231
692.0000	0.0365
691.0000	0.04117
690.0000	0.04627
689.0000	0.0518
688.0000	0.05781
687.0000	0.06436
686.0000	0.07145
685.0000	0.07905
684.0000	0.08716
683.0000	0.09572
682.0000	0.10477
681.0000	0.11408
680.0000	0.1238
679.0000	0.13369
678.0000	0.14382
677.0000	0.1538
676.0000	0.16372
675.0000	0.17332
674.0000	0.18258
673.0000	0.19142
672.0000	0.19967
671.0000	0.20737
670.0000	0.21432
669.0000	0.22063
