TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	19:21:26
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	-0.05186
MAXY	0.20976
MINY	-0.05186
XYDATA
840.0000	-0.05186
839.0000	-0.05012
838.0000	-0.04821
837.0000	-0.04627
836.0000	-0.04447
835.0000	-0.04276
834.0000	-0.041
833.0000	-0.03925
832.0000	-0.03732
831.0000	-0.03564
830.0000	-0.03384
829.0000	-0.03213
828.0000	-0.03037
827.0000	-0.02871
826.0000	-0.02726
825.0000	-0.02581
824.0000	-0.0245
823.0000	-0.02316
822.0000	-0.02191
821.0000	-0.02065
820.0000	-0.01943
819.0000	-0.01835
818.0000	-0.0173
817.0000	-0.01628
816.0000	-0.01525
815.0000	-0.01421
814.0000	-0.0134
813.0000	-0.01262
812.0000	-0.01187
811.0000	-0.01116
810.0000	-0.01051
809.0000	-0.00978
808.0000	-0.00911
807.0000	-0.00836
806.0000	-0.00766
805.0000	-0.00709
804.0000	-0.0066
803.0000	-0.00619
802.0000	-0.00571
801.0000	-0.0054
800.0000	-0.00503
799.0000	-0.00469
798.0000	-0.00444
797.0000	-0.00428
796.0000	-0.00407
795.0000	-0.0039
794.0000	-0.0037
793.0000	-0.00356
792.0000	-0.00333
791.0000	-0.00322
790.0000	-0.00314
789.0000	-0.00311
788.0000	-0.00312
787.0000	-0.00296
786.0000	-0.00286
785.0000	-0.00271
784.0000	-0.00265
783.0000	-0.00262
782.0000	-0.00258
781.0000	-0.00262
780.0000	-0.00256
779.0000	-0.00257
778.0000	-0.00249
777.0000	-0.00257
776.0000	-0.00251
775.0000	-0.00252
774.0000	-0.00259
773.0000	-0.00264
772.0000	-0.00278
771.0000	-0.00274
770.0000	-0.00271
769.0000	-0.00264
768.0000	-0.00266
767.0000	-0.00264
766.0000	-0.00271
765.0000	-0.00278
764.0000	-0.00272
763.0000	-0.00274
762.0000	-0.0027
761.0000	-0.0027
760.0000	-0.00278
759.0000	-0.00283
758.0000	-0.0028
757.0000	-0.00273
756.0000	-0.00267
755.0000	-0.0027
754.0000	-0.00279
753.0000	-0.00276
752.0000	-0.00271
751.0000	-0.00273
750.0000	-0.00273
749.0000	-0.00277
748.0000	-0.00268
747.0000	-0.00268
746.0000	-0.00261
745.0000	-0.00264
744.0000	-0.00266
743.0000	-0.00267
742.0000	-0.00262
741.0000	-0.00261
740.0000	-0.00243
739.0000	-0.00226
738.0000	-0.00219
737.0000	-0.00203
736.0000	-0.00196
735.0000	-0.00189
734.0000	-0.0018
733.0000	-0.00176
732.0000	-0.00165
731.0000	-0.00152
730.0000	-0.00139
729.0000	-0.00129
728.0000	-0.00124
727.0000	-0.00112
726.0000	-8.9E-04
725.0000	-7.3E-04
724.0000	-5.4E-04
723.0000	-4E-04
722.0000	-2.3E-04
721.0000	-4E-05
720.0000	2.1E-04
719.0000	4.6E-04
718.0000	7.5E-04
717.0000	9.9E-04
716.0000	0.00124
715.0000	0.00161
714.0000	0.00195
713.0000	0.00235
712.0000	0.00275
711.0000	0.00332
710.0000	0.00387
709.0000	0.00452
708.0000	0.00522
707.0000	0.00594
706.0000	0.00681
705.0000	0.00775
704.0000	0.00882
703.0000	0.00998
702.0000	0.01123
701.0000	0.01268
700.0000	0.01419
699.0000	0.01582
698.0000	0.01769
697.0000	0.01982
696.0000	0.02222
695.0000	0.02485
694.0000	0.02769
693.0000	0.03077
692.0000	0.03421
691.0000	0.03799
690.0000	0.04217
689.0000	0.04665
688.0000	0.05153
687.0000	0.05681
686.0000	0.06248
685.0000	0.06848
684.0000	0.07487
683.0000	0.08164
682.0000	0.08873
681.0000	0.09608
680.0000	0.10363
679.0000	0.1115
678.0000	0.11943
677.0000	0.12737
676.0000	0.13515
675.0000	0.14281
674.0000	0.15029
673.0000	0.15735
672.0000	0.164
671.0000	0.17027
670.0000	0.17604
669.0000	0.18139
668.0000	0.18614
667.0000	0.19042
