TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/08/31
TIME	13:24:55
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00920
MAXY	1.06711
MINY	0.00872
XYDATA
840.0000	0.0092
839.0000	0.00916
838.0000	0.00913
837.0000	0.00908
836.0000	0.00902
835.0000	0.00905
834.0000	0.00899
833.0000	0.00905
832.0000	0.00903
831.0000	0.00908
830.0000	0.0091
829.0000	0.00908
828.0000	0.00898
827.0000	0.00895
826.0000	0.00897
825.0000	0.00894
824.0000	0.0089
823.0000	0.00894
822.0000	0.00891
821.0000	0.00898
820.0000	0.0089
819.0000	0.00884
818.0000	0.00892
817.0000	0.00891
816.0000	0.00893
815.0000	0.00893
814.0000	0.00892
813.0000	0.00872
812.0000	0.00875
811.0000	0.00881
810.0000	0.00883
809.0000	0.00888
808.0000	0.00895
807.0000	0.00896
806.0000	0.00903
805.0000	0.00905
804.0000	0.00906
803.0000	0.0091
802.0000	0.0091
801.0000	0.00911
800.0000	0.00911
799.0000	0.00908
798.0000	0.00908
797.0000	0.00907
796.0000	0.00902
795.0000	0.00898
794.0000	0.00894
793.0000	0.00896
792.0000	0.00893
791.0000	0.00898
790.0000	0.00902
789.0000	0.00905
788.0000	0.00905
787.0000	0.00909
786.0000	0.00906
785.0000	0.00922
784.0000	0.00927
783.0000	0.00934
782.0000	0.00934
781.0000	0.00929
780.0000	0.00938
779.0000	0.00935
778.0000	0.00946
777.0000	0.00953
776.0000	0.00955
775.0000	0.00958
774.0000	0.00965
773.0000	0.00967
772.0000	0.00972
771.0000	0.0097
770.0000	0.00972
769.0000	0.00968
768.0000	0.00966
767.0000	0.00981
766.0000	0.00988
765.0000	0.00999
764.0000	0.00991
763.0000	0.01002
762.0000	0.01015
761.0000	0.01028
760.0000	0.01047
759.0000	0.01056
758.0000	0.01068
757.0000	0.01074
756.0000	0.01081
755.0000	0.01085
754.0000	0.01091
753.0000	0.01109
752.0000	0.01116
751.0000	0.01135
750.0000	0.01145
749.0000	0.0116
748.0000	0.01172
747.0000	0.0119
746.0000	0.01203
745.0000	0.01215
744.0000	0.01227
743.0000	0.01245
742.0000	0.01266
741.0000	0.01291
740.0000	0.01334
739.0000	0.01354
738.0000	0.01377
737.0000	0.01401
736.0000	0.01432
735.0000	0.0146
734.0000	0.01488
733.0000	0.01526
732.0000	0.01567
731.0000	0.01604
730.0000	0.01644
729.0000	0.01684
728.0000	0.01729
727.0000	0.01779
726.0000	0.01834
725.0000	0.01899
724.0000	0.01965
723.0000	0.02032
722.0000	0.02116
721.0000	0.02206
720.0000	0.02309
719.0000	0.02415
718.0000	0.02537
717.0000	0.02673
716.0000	0.02822
715.0000	0.02988
714.0000	0.0317
713.0000	0.03369
712.0000	0.03591
711.0000	0.0384
710.0000	0.04121
709.0000	0.0443
708.0000	0.04777
707.0000	0.05165
706.0000	0.05597
705.0000	0.06082
704.0000	0.0663
703.0000	0.07246
702.0000	0.07927
701.0000	0.08683
700.0000	0.09539
699.0000	0.105
698.0000	0.11565
697.0000	0.12752
696.0000	0.14066
695.0000	0.15528
694.0000	0.1714
693.0000	0.18923
692.0000	0.2089
691.0000	0.23063
690.0000	0.25445
689.0000	0.28049
688.0000	0.30882
687.0000	0.33958
686.0000	0.37271
685.0000	0.40824
684.0000	0.44608
683.0000	0.48589
682.0000	0.52764
681.0000	0.57098
680.0000	0.61575
679.0000	0.66121
678.0000	0.70671
677.0000	0.75154
676.0000	0.79496
675.0000	0.83675
674.0000	0.87623
673.0000	0.91269
672.0000	0.94578
671.0000	0.97502
670.0000	1.00041
669.0000	1.0216
668.0000	1.03854
667.0000	1.05123
666.0000	1.06
665.0000	1.06516
664.0000	1.06711
663.0000	1.06597
662.0000	1.06226
661.0000	1.05626
660.0000	1.04835
659.0000	1.03879
658.0000	1.02804
657.0000	1.01599
656.0000	1.00307
655.0000	0.98909
654.0000	0.97443
653.0000	0.95894
