TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	16:35:18
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00639
MAXY	0.40779
MINY	0.00629
XYDATA
840.0000	0.00639
839.0000	0.00644
838.0000	0.00642
837.0000	0.00651
836.0000	0.00633
835.0000	0.00629
834.0000	0.00635
833.0000	0.00662
832.0000	0.00652
831.0000	0.00654
830.0000	0.00651
829.0000	0.00661
828.0000	0.00664
827.0000	0.00659
826.0000	0.00651
825.0000	0.00638
824.0000	0.00648
823.0000	0.00647
822.0000	0.00662
821.0000	0.0067
820.0000	0.00676
819.0000	0.00679
818.0000	0.00682
817.0000	0.00675
816.0000	0.00678
815.0000	0.00663
814.0000	0.00666
813.0000	0.00664
812.0000	0.00682
811.0000	0.00679
810.0000	0.00684
809.0000	0.00679
808.0000	0.00679
807.0000	0.00685
806.0000	0.00684
805.0000	0.00697
804.0000	0.00705
803.0000	0.007
802.0000	0.00708
801.0000	0.00714
800.0000	0.00722
799.0000	0.00722
798.0000	0.00718
797.0000	0.00711
796.0000	0.00719
795.0000	0.00725
794.0000	0.00741
793.0000	0.0075
792.0000	0.00756
791.0000	0.00753
790.0000	0.00745
789.0000	0.00741
788.0000	0.00743
787.0000	0.00747
786.0000	0.00756
785.0000	0.00765
784.0000	0.00778
783.0000	0.00784
782.0000	0.00785
781.0000	0.00783
780.0000	0.00786
779.0000	0.00783
778.0000	0.00794
777.0000	0.00798
776.0000	0.00816
775.0000	0.0081
774.0000	0.00812
773.0000	0.00811
772.0000	0.00821
771.0000	0.0083
770.0000	0.00826
769.0000	0.00835
768.0000	0.00828
767.0000	0.00835
766.0000	0.0084
765.0000	0.00845
764.0000	0.00849
763.0000	0.0086
762.0000	0.00862
761.0000	0.00874
760.0000	0.00869
759.0000	0.00867
758.0000	0.00877
757.0000	0.00893
756.0000	0.009
755.0000	0.00902
754.0000	0.00899
753.0000	0.0091
752.0000	0.00918
751.0000	0.00924
750.0000	0.00925
749.0000	0.0093
748.0000	0.00937
747.0000	0.00945
746.0000	0.00957
745.0000	0.00969
744.0000	0.00985
743.0000	0.00987
742.0000	0.00994
741.0000	0.00994
740.0000	0.01008
739.0000	0.01012
738.0000	0.01025
737.0000	0.01041
736.0000	0.01056
735.0000	0.01067
734.0000	0.01075
733.0000	0.01094
732.0000	0.0111
731.0000	0.0112
730.0000	0.01139
729.0000	0.01159
728.0000	0.01184
727.0000	0.01207
726.0000	0.0123
725.0000	0.01257
724.0000	0.01286
723.0000	0.01316
722.0000	0.01352
721.0000	0.0138
720.0000	0.01415
719.0000	0.01461
718.0000	0.01514
717.0000	0.01568
716.0000	0.01629
715.0000	0.01692
714.0000	0.01765
713.0000	0.0184
712.0000	0.01929
711.0000	0.0203
710.0000	0.02142
709.0000	0.02265
708.0000	0.02396
707.0000	0.02547
706.0000	0.02709
705.0000	0.02899
704.0000	0.03104
703.0000	0.03344
702.0000	0.03608
701.0000	0.03903
700.0000	0.04226
699.0000	0.04583
698.0000	0.04974
697.0000	0.0541
696.0000	0.05893
695.0000	0.06428
694.0000	0.07012
693.0000	0.07663
692.0000	0.08379
691.0000	0.09168
690.0000	0.10033
689.0000	0.10982
688.0000	0.12005
687.0000	0.13121
686.0000	0.14317
685.0000	0.15606
684.0000	0.16964
683.0000	0.18405
682.0000	0.19909
681.0000	0.21483
680.0000	0.23105
679.0000	0.24752
678.0000	0.26403
677.0000	0.28021
676.0000	0.29596
675.0000	0.31119
674.0000	0.32566
673.0000	0.33923
672.0000	0.35172
671.0000	0.36302
670.0000	0.37309
669.0000	0.38176
668.0000	0.38909
667.0000	0.39507
666.0000	0.39974
665.0000	0.40331
664.0000	0.40576
663.0000	0.40725
662.0000	0.40779
661.0000	0.40755
660.0000	0.40659
659.0000	0.40496
658.0000	0.40274
657.0000	0.40003
656.0000	0.39686
655.0000	0.39325
654.0000	0.3892
653.0000	0.38474
