TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	16:23:29
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00520
MAXY	0.63644
MINY	0.00504
XYDATA
840.0000	0.0052
839.0000	0.00527
838.0000	0.00516
837.0000	0.00526
836.0000	0.0051
835.0000	0.00508
834.0000	0.0051
833.0000	0.00521
832.0000	0.0052
831.0000	0.00521
830.0000	0.00525
829.0000	0.00525
828.0000	0.00526
827.0000	0.00524
826.0000	0.00512
825.0000	0.00504
824.0000	0.00504
823.0000	0.0051
822.0000	0.00519
821.0000	0.00526
820.0000	0.00527
819.0000	0.0053
818.0000	0.00537
817.0000	0.00539
816.0000	0.00536
815.0000	0.00521
814.0000	0.00517
813.0000	0.00513
812.0000	0.00525
811.0000	0.00528
810.0000	0.00541
809.0000	0.00545
808.0000	0.00546
807.0000	0.00547
806.0000	0.00538
805.0000	0.0053
804.0000	0.00537
803.0000	0.00545
802.0000	0.00562
801.0000	0.00559
800.0000	0.00553
799.0000	0.00547
798.0000	0.00548
797.0000	0.00546
796.0000	0.00558
795.0000	0.00564
794.0000	0.00565
793.0000	0.00566
792.0000	0.00568
791.0000	0.00562
790.0000	0.00553
789.0000	0.00552
788.0000	0.0056
787.0000	0.00577
786.0000	0.00579
785.0000	0.00584
784.0000	0.00584
783.0000	0.00582
782.0000	0.0059
781.0000	0.00589
780.0000	0.00591
779.0000	0.00583
778.0000	0.00586
777.0000	0.00589
776.0000	0.00603
775.0000	0.00591
774.0000	0.00602
773.0000	0.00599
772.0000	0.00608
771.0000	0.00607
770.0000	0.00606
769.0000	0.00605
768.0000	0.00612
767.0000	0.00616
766.0000	0.00625
765.0000	0.00616
764.0000	0.00624
763.0000	0.00633
762.0000	0.00644
761.0000	0.00639
760.0000	0.00639
759.0000	0.00633
758.0000	0.00643
757.0000	0.00656
756.0000	0.00663
755.0000	0.00671
754.0000	0.00666
753.0000	0.00673
752.0000	0.00684
751.0000	0.0069
750.0000	0.00691
749.0000	0.00695
748.0000	0.00705
747.0000	0.00714
746.0000	0.00725
745.0000	0.00731
744.0000	0.00746
743.0000	0.00759
742.0000	0.00773
741.0000	0.00776
740.0000	0.00787
739.0000	0.00789
738.0000	0.00803
737.0000	0.00822
736.0000	0.00841
735.0000	0.00861
734.0000	0.00871
733.0000	0.00896
732.0000	0.00914
731.0000	0.0093
730.0000	0.00953
729.0000	0.00984
728.0000	0.01017
727.0000	0.01052
726.0000	0.01082
725.0000	0.01116
724.0000	0.01153
723.0000	0.01203
722.0000	0.0126
721.0000	0.01318
720.0000	0.01373
719.0000	0.01434
718.0000	0.01509
717.0000	0.01588
716.0000	0.01681
715.0000	0.01785
714.0000	0.01897
713.0000	0.0202
712.0000	0.02159
711.0000	0.02316
710.0000	0.02483
709.0000	0.02667
708.0000	0.02881
707.0000	0.03118
706.0000	0.03387
705.0000	0.03682
704.0000	0.04015
703.0000	0.04386
702.0000	0.04803
701.0000	0.05273
700.0000	0.05789
699.0000	0.06363
698.0000	0.07
697.0000	0.07711
696.0000	0.08499
695.0000	0.09372
694.0000	0.10332
693.0000	0.11392
692.0000	0.1256
691.0000	0.1385
690.0000	0.15262
689.0000	0.16805
688.0000	0.18483
687.0000	0.20296
686.0000	0.22256
685.0000	0.24355
684.0000	0.2658
683.0000	0.28923
682.0000	0.31378
681.0000	0.33927
680.0000	0.36558
679.0000	0.39215
678.0000	0.4187
677.0000	0.44483
676.0000	0.47021
675.0000	0.49468
674.0000	0.51774
673.0000	0.53912
672.0000	0.55866
671.0000	0.57618
670.0000	0.59155
669.0000	0.60448
668.0000	0.61504
667.0000	0.6234
666.0000	0.62951
665.0000	0.63366
664.0000	0.63586
663.0000	0.63644
662.0000	0.63557
661.0000	0.63339
660.0000	0.63007
659.0000	0.62572
658.0000	0.62058
657.0000	0.61468
656.0000	0.60811
655.0000	0.60089
654.0000	0.59311
653.0000	0.58479
