TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	15:44:40
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00746
MAXY	1.08192
MINY	0.00719
XYDATA
840.0000	0.00746
839.0000	0.00743
838.0000	0.00733
837.0000	0.00734
836.0000	0.00719
835.0000	0.00724
834.0000	0.00733
833.0000	0.00752
832.0000	0.00747
831.0000	0.00752
830.0000	0.00756
829.0000	0.00753
828.0000	0.0075
827.0000	0.00749
826.0000	0.00741
825.0000	0.00731
824.0000	0.00738
823.0000	0.00738
822.0000	0.00744
821.0000	0.00748
820.0000	0.00749
819.0000	0.0076
818.0000	0.00759
817.0000	0.00761
816.0000	0.00762
815.0000	0.00754
814.0000	0.00759
813.0000	0.0075
812.0000	0.00764
811.0000	0.00759
810.0000	0.00766
809.0000	0.00767
808.0000	0.00766
807.0000	0.00766
806.0000	0.00754
805.0000	0.00761
804.0000	0.00767
803.0000	0.00774
802.0000	0.00776
801.0000	0.0078
800.0000	0.00779
799.0000	0.00774
798.0000	0.00771
797.0000	0.00768
796.0000	0.00774
795.0000	0.00776
794.0000	0.00782
793.0000	0.00782
792.0000	0.00785
791.0000	0.00786
790.0000	0.00784
789.0000	0.00792
788.0000	0.00793
787.0000	0.00801
786.0000	0.00806
785.0000	0.00812
784.0000	0.00814
783.0000	0.00809
782.0000	0.00824
781.0000	0.0083
780.0000	0.00832
779.0000	0.00827
778.0000	0.00836
777.0000	0.00843
776.0000	0.00858
775.0000	0.00859
774.0000	0.00864
773.0000	0.00869
772.0000	0.00873
771.0000	0.00884
770.0000	0.00878
769.0000	0.00886
768.0000	0.00886
767.0000	0.00894
766.0000	0.00898
765.0000	0.009
764.0000	0.00915
763.0000	0.00928
762.0000	0.00942
761.0000	0.00947
760.0000	0.00963
759.0000	0.00961
758.0000	0.00961
757.0000	0.00967
756.0000	0.00979
755.0000	0.00996
754.0000	0.01007
753.0000	0.01028
752.0000	0.01046
751.0000	0.01057
750.0000	0.01065
749.0000	0.01074
748.0000	0.01092
747.0000	0.01106
746.0000	0.01125
745.0000	0.01145
744.0000	0.01167
743.0000	0.01183
742.0000	0.0121
741.0000	0.01229
740.0000	0.01262
739.0000	0.01273
738.0000	0.01291
737.0000	0.01327
736.0000	0.01354
735.0000	0.01389
734.0000	0.01416
733.0000	0.0146
732.0000	0.01498
731.0000	0.01536
730.0000	0.01577
729.0000	0.01631
728.0000	0.01687
727.0000	0.01742
726.0000	0.01796
725.0000	0.01863
724.0000	0.01938
723.0000	0.02023
722.0000	0.02114
721.0000	0.02209
720.0000	0.02317
719.0000	0.02431
718.0000	0.02554
717.0000	0.02684
716.0000	0.02842
715.0000	0.03013
714.0000	0.03206
713.0000	0.0341
712.0000	0.03644
711.0000	0.03909
710.0000	0.04208
709.0000	0.04534
708.0000	0.04903
707.0000	0.05311
706.0000	0.05761
705.0000	0.0627
704.0000	0.06836
703.0000	0.07478
702.0000	0.08191
701.0000	0.08986
700.0000	0.09871
699.0000	0.10858
698.0000	0.11953
697.0000	0.13178
696.0000	0.14529
695.0000	0.16034
694.0000	0.17694
693.0000	0.19532
692.0000	0.21558
691.0000	0.23786
690.0000	0.26227
689.0000	0.28894
688.0000	0.318
687.0000	0.34942
686.0000	0.38327
685.0000	0.4195
684.0000	0.45795
683.0000	0.49848
682.0000	0.54084
681.0000	0.58477
680.0000	0.63006
679.0000	0.67607
678.0000	0.72201
677.0000	0.76716
676.0000	0.81078
675.0000	0.85271
674.0000	0.8921
673.0000	0.92868
672.0000	0.9618
671.0000	0.99113
670.0000	1.01642
669.0000	1.03743
668.0000	1.05417
667.0000	1.06667
666.0000	1.07519
665.0000	1.08018
664.0000	1.08192
663.0000	1.08069
662.0000	1.07683
661.0000	1.07068
660.0000	1.06262
659.0000	1.05298
658.0000	1.04201
657.0000	1.02989
656.0000	1.01677
655.0000	1.00277
654.0000	0.98783
653.0000	0.97224
