TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	15:52:05
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00728
MAXY	0.70449
MINY	0.00706
XYDATA
840.0000	0.00728
839.0000	0.00725
838.0000	0.00706
837.0000	0.00723
836.0000	0.00712
835.0000	0.00714
834.0000	0.00716
833.0000	0.0073
832.0000	0.00731
831.0000	0.00729
830.0000	0.00734
829.0000	0.00748
828.0000	0.00743
827.0000	0.00743
826.0000	0.00723
825.0000	0.00724
824.0000	0.00722
823.0000	0.00728
822.0000	0.00722
821.0000	0.00725
820.0000	0.00727
819.0000	0.00737
818.0000	0.00736
817.0000	0.00735
816.0000	0.00734
815.0000	0.00731
814.0000	0.00732
813.0000	0.00739
812.0000	0.00747
811.0000	0.00735
810.0000	0.0074
809.0000	0.00741
808.0000	0.00742
807.0000	0.00743
806.0000	0.0074
805.0000	0.0075
804.0000	0.00755
803.0000	0.00759
802.0000	0.00763
801.0000	0.00754
800.0000	0.00758
799.0000	0.00755
798.0000	0.00764
797.0000	0.00758
796.0000	0.00766
795.0000	0.00768
794.0000	0.0078
793.0000	0.00781
792.0000	0.00775
791.0000	0.00762
790.0000	0.00751
789.0000	0.00758
788.0000	0.00768
787.0000	0.00782
786.0000	0.00785
785.0000	0.00784
784.0000	0.00788
783.0000	0.00789
782.0000	0.00801
781.0000	0.00801
780.0000	0.0081
779.0000	0.00802
778.0000	0.00802
777.0000	0.00803
776.0000	0.00817
775.0000	0.0081
774.0000	0.00815
773.0000	0.00816
772.0000	0.00823
771.0000	0.0083
770.0000	0.00824
769.0000	0.00827
768.0000	0.00829
767.0000	0.00834
766.0000	0.00834
765.0000	0.00834
764.0000	0.00844
763.0000	0.00845
762.0000	0.00845
761.0000	0.00848
760.0000	0.00857
759.0000	0.00864
758.0000	0.00869
757.0000	0.00876
756.0000	0.00878
755.0000	0.00882
754.0000	0.00883
753.0000	0.00897
752.0000	0.00901
751.0000	0.00907
750.0000	0.00908
749.0000	0.00917
748.0000	0.00935
747.0000	0.00946
746.0000	0.00961
745.0000	0.00968
744.0000	0.00978
743.0000	0.00984
742.0000	0.00997
741.0000	0.0101
740.0000	0.01023
739.0000	0.01027
738.0000	0.01037
737.0000	0.01057
736.0000	0.01076
735.0000	0.01092
734.0000	0.01114
733.0000	0.01139
732.0000	0.01157
731.0000	0.01171
730.0000	0.01197
729.0000	0.01234
728.0000	0.0127
727.0000	0.01307
726.0000	0.01338
725.0000	0.01381
724.0000	0.01427
723.0000	0.0148
722.0000	0.01542
721.0000	0.01597
720.0000	0.01661
719.0000	0.01732
718.0000	0.01812
717.0000	0.01904
716.0000	0.02008
715.0000	0.02117
714.0000	0.02236
713.0000	0.02366
712.0000	0.02513
711.0000	0.02683
710.0000	0.02872
709.0000	0.03085
708.0000	0.03323
707.0000	0.03588
706.0000	0.03881
705.0000	0.04211
704.0000	0.04571
703.0000	0.0498
702.0000	0.0544
701.0000	0.05957
700.0000	0.06532
699.0000	0.07167
698.0000	0.07872
697.0000	0.08663
696.0000	0.09535
695.0000	0.10501
694.0000	0.11564
693.0000	0.12738
692.0000	0.1404
691.0000	0.15468
690.0000	0.17039
689.0000	0.18745
688.0000	0.20607
687.0000	0.22625
686.0000	0.24807
685.0000	0.27141
684.0000	0.29609
683.0000	0.322
682.0000	0.34913
681.0000	0.37735
680.0000	0.40651
679.0000	0.43609
678.0000	0.46559
677.0000	0.49457
676.0000	0.52266
675.0000	0.54975
674.0000	0.57534
673.0000	0.59908
672.0000	0.62075
671.0000	0.64002
670.0000	0.65681
669.0000	0.67089
668.0000	0.68238
667.0000	0.69134
666.0000	0.69781
665.0000	0.70209
664.0000	0.70424
663.0000	0.70449
662.0000	0.70312
661.0000	0.70023
660.0000	0.69608
659.0000	0.69092
658.0000	0.68481
657.0000	0.678
656.0000	0.67031
655.0000	0.66206
654.0000	0.65318
653.0000	0.6437
