TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	16:17:28
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00708
MAXY	0.84072
MINY	0.00707
XYDATA
840.0000	0.00708
839.0000	0.00709
838.0000	0.00713
837.0000	0.00724
836.0000	0.00717
835.0000	0.00711
834.0000	0.00707
833.0000	0.00719
832.0000	0.00715
831.0000	0.00721
830.0000	0.00731
829.0000	0.00743
828.0000	0.00751
827.0000	0.00741
826.0000	0.0073
825.0000	0.00717
824.0000	0.00722
823.0000	0.00723
822.0000	0.00739
821.0000	0.00746
820.0000	0.00752
819.0000	0.00744
818.0000	0.0074
817.0000	0.00735
816.0000	0.00732
815.0000	0.00724
814.0000	0.0073
813.0000	0.00729
812.0000	0.0075
811.0000	0.00745
810.0000	0.00765
809.0000	0.0077
808.0000	0.00781
807.0000	0.00786
806.0000	0.00777
805.0000	0.00778
804.0000	0.00774
803.0000	0.00781
802.0000	0.00787
801.0000	0.00786
800.0000	0.00783
799.0000	0.00784
798.0000	0.00789
797.0000	0.0079
796.0000	0.0079
795.0000	0.00793
794.0000	0.00808
793.0000	0.00816
792.0000	0.00823
791.0000	0.00827
790.0000	0.00826
789.0000	0.00824
788.0000	0.00834
787.0000	0.00846
786.0000	0.00857
785.0000	0.00857
784.0000	0.00855
783.0000	0.0086
782.0000	0.00874
781.0000	0.00871
780.0000	0.00878
779.0000	0.00871
778.0000	0.0089
777.0000	0.00896
776.0000	0.00907
775.0000	0.00905
774.0000	0.00908
773.0000	0.00915
772.0000	0.00927
771.0000	0.00932
770.0000	0.00925
769.0000	0.00928
768.0000	0.00931
767.0000	0.00942
766.0000	0.00949
765.0000	0.00954
764.0000	0.00968
763.0000	0.00981
762.0000	0.00995
761.0000	0.00997
760.0000	0.01006
759.0000	0.01001
758.0000	0.01011
757.0000	0.01028
756.0000	0.01039
755.0000	0.01045
754.0000	0.01046
753.0000	0.01058
752.0000	0.01068
751.0000	0.01085
750.0000	0.01096
749.0000	0.01116
748.0000	0.0113
747.0000	0.0114
746.0000	0.01157
745.0000	0.01171
744.0000	0.01189
743.0000	0.01196
742.0000	0.0121
741.0000	0.01228
740.0000	0.01248
739.0000	0.0126
738.0000	0.01281
737.0000	0.01307
736.0000	0.01337
735.0000	0.01356
734.0000	0.01376
733.0000	0.01408
732.0000	0.01441
731.0000	0.01473
730.0000	0.0151
729.0000	0.01544
728.0000	0.01584
727.0000	0.01628
726.0000	0.01676
725.0000	0.01731
724.0000	0.01786
723.0000	0.01842
722.0000	0.01915
721.0000	0.01992
720.0000	0.02077
719.0000	0.02162
718.0000	0.02256
717.0000	0.02362
716.0000	0.02486
715.0000	0.02622
714.0000	0.02769
713.0000	0.02926
712.0000	0.03108
711.0000	0.03322
710.0000	0.03552
709.0000	0.03802
708.0000	0.04083
707.0000	0.04396
706.0000	0.04749
705.0000	0.05147
704.0000	0.05586
703.0000	0.06082
702.0000	0.06628
701.0000	0.07253
700.0000	0.07942
699.0000	0.08704
698.0000	0.09545
697.0000	0.10484
696.0000	0.11532
695.0000	0.1269
694.0000	0.13971
693.0000	0.15383
692.0000	0.16938
691.0000	0.18649
690.0000	0.20528
689.0000	0.22579
688.0000	0.2481
687.0000	0.27224
686.0000	0.29829
685.0000	0.32624
684.0000	0.35585
683.0000	0.38705
682.0000	0.41955
681.0000	0.45345
680.0000	0.48842
679.0000	0.52389
678.0000	0.55924
677.0000	0.59387
676.0000	0.62744
675.0000	0.65972
674.0000	0.69025
673.0000	0.71853
672.0000	0.7443
671.0000	0.76711
670.0000	0.78689
669.0000	0.80346
668.0000	0.81677
667.0000	0.82701
666.0000	0.83424
665.0000	0.83881
664.0000	0.84072
663.0000	0.84043
662.0000	0.83826
661.0000	0.83437
660.0000	0.82894
659.0000	0.82213
658.0000	0.8143
657.0000	0.80552
656.0000	0.79591
655.0000	0.78553
654.0000	0.77447
653.0000	0.7628
