TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	19/09/02
TIME	16:55:58
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	840.0000
LASTX	190.0000
NPOINTS	651
FIRSTY	0.00632
MAXY	0.27380
MINY	0.00559
XYDATA
840.0000	0.00632
839.0000	0.00628
838.0000	0.0061
837.0000	0.00614
836.0000	0.00593
835.0000	0.00595
834.0000	0.00595
833.0000	0.00602
832.0000	0.00595
831.0000	0.00588
830.0000	0.00595
829.0000	0.00593
828.0000	0.00588
827.0000	0.00579
826.0000	0.00567
825.0000	0.00561
824.0000	0.00563
823.0000	0.00565
822.0000	0.00563
821.0000	0.0057
820.0000	0.00571
819.0000	0.00579
818.0000	0.00577
817.0000	0.00576
816.0000	0.00572
815.0000	0.00569
814.0000	0.00576
813.0000	0.00573
812.0000	0.00583
811.0000	0.0057
810.0000	0.00574
809.0000	0.00576
808.0000	0.00581
807.0000	0.00586
806.0000	0.00566
805.0000	0.00561
804.0000	0.00559
803.0000	0.0057
802.0000	0.00584
801.0000	0.00586
800.0000	0.00583
799.0000	0.00582
798.0000	0.00576
797.0000	0.00571
796.0000	0.00577
795.0000	0.00572
794.0000	0.00576
793.0000	0.00578
792.0000	0.00585
791.0000	0.00579
790.0000	0.00568
789.0000	0.00559
788.0000	0.00569
787.0000	0.00576
786.0000	0.00591
785.0000	0.00582
784.0000	0.00584
783.0000	0.0058
782.0000	0.00587
781.0000	0.00589
780.0000	0.00583
779.0000	0.00582
778.0000	0.00587
777.0000	0.00591
776.0000	0.00598
775.0000	0.00589
774.0000	0.00587
773.0000	0.00585
772.0000	0.00585
771.0000	0.00587
770.0000	0.00586
769.0000	0.00579
768.0000	0.00578
767.0000	0.00574
766.0000	0.00582
765.0000	0.00584
764.0000	0.00594
763.0000	0.00599
762.0000	0.00602
761.0000	0.006
760.0000	0.00598
759.0000	0.00592
758.0000	0.0059
757.0000	0.00592
756.0000	0.00599
755.0000	0.006
754.0000	0.00597
753.0000	0.00596
752.0000	0.006
751.0000	0.00605
750.0000	0.00609
749.0000	0.00609
748.0000	0.00617
747.0000	0.0062
746.0000	0.00625
745.0000	0.00623
744.0000	0.00627
743.0000	0.00625
742.0000	0.00637
741.0000	0.00639
740.0000	0.00635
739.0000	0.00621
738.0000	0.00616
737.0000	0.0062
736.0000	0.00627
735.0000	0.00638
734.0000	0.00645
733.0000	0.00652
732.0000	0.00652
731.0000	0.00648
730.0000	0.00658
729.0000	0.00674
728.0000	0.00692
727.0000	0.00703
726.0000	0.00712
725.0000	0.00729
724.0000	0.00743
723.0000	0.00762
722.0000	0.00784
721.0000	0.00802
720.0000	0.00822
719.0000	0.00848
718.0000	0.00877
717.0000	0.00903
716.0000	0.00938
715.0000	0.00972
714.0000	0.01013
713.0000	0.01061
712.0000	0.01113
711.0000	0.01183
710.0000	0.01252
709.0000	0.01323
708.0000	0.01408
707.0000	0.01501
706.0000	0.01607
705.0000	0.01724
704.0000	0.01854
703.0000	0.0201
702.0000	0.02179
701.0000	0.02365
700.0000	0.02568
699.0000	0.02792
698.0000	0.03041
697.0000	0.03322
696.0000	0.03635
695.0000	0.03981
694.0000	0.04363
693.0000	0.04789
692.0000	0.05254
691.0000	0.05768
690.0000	0.06332
689.0000	0.06952
688.0000	0.07626
687.0000	0.08355
686.0000	0.09141
685.0000	0.09989
684.0000	0.10884
683.0000	0.11826
682.0000	0.12813
681.0000	0.1384
680.0000	0.14909
679.0000	0.15988
678.0000	0.17067
677.0000	0.18133
676.0000	0.19175
675.0000	0.2019
674.0000	0.21159
673.0000	0.22076
672.0000	0.22928
671.0000	0.23714
670.0000	0.24425
669.0000	0.25046
668.0000	0.25586
667.0000	0.26051
666.0000	0.26435
665.0000	0.26748
664.0000	0.26991
663.0000	0.27171
662.0000	0.2729
661.0000	0.27361
660.0000	0.2738
659.0000	0.27357
658.0000	0.27289
657.0000	0.27188
656.0000	0.27051
655.0000	0.26872
654.0000	0.26659
653.0000	0.26415
